1, private, deeper_dark:amethyst_mines, MONSTER, mozombies_wave:disco_zombie, 6, 1, 4
78, nether, minecraft:basalt_deltas, MONSTER, minecraft:blaze, 5, 2, 2
79, nether, minecraft:basalt_deltas, MONSTER, mozombies_wave:nether_zombie, 5, 1, 4
80, nether, minecraft:basalt_deltas, MONSTER, hwg:technodemon_greater_1, 5, 1, 1
81, nether, minecraft:basalt_deltas, MONSTER, hwg:technodemon_lesser_1, 5, 1, 2
82, nether, minecraft:basalt_deltas, MONSTER, minecraft:zombified_piglin, 5, 1, 4
83, nether, minecraft:basalt_deltas, CREATURE, minecraft:strider, 60, 1, 2
84, nether, minecraft:basalt_deltas, CREATURE, mozombies_wave:survivor, 5, 1, 4
85, beach, minecraft:beach, MONSTER, minecraft:spider, 80, 4, 4
86, beach, minecraft:beach, MONSTER, minecraft:zombie, 80, 4, 4
87, beach, minecraft:beach, MONSTER, minecraft:zombie_villager, 5, 1, 1
88, beach, minecraft:beach, MONSTER, minecraft:skeleton, 80, 4, 4
89, beach, minecraft:beach, MONSTER, minecraft:creeper, 80, 4, 4
90, beach, minecraft:beach, MONSTER, minecraft:slime, 80, 4, 4
91, beach, minecraft:beach, MONSTER, minecraft:enderman, 10, 1, 4
92, beach, minecraft:beach, MONSTER, minecraft:witch, 5, 1, 1
93, beach, minecraft:beach, MONSTER, mozombies_wave:disco_zombie, 6, 1, 4
94, beach, minecraft:beach, MONSTER, mozombies_wave:zombie_chef, 8, 1, 4
95, beach, minecraft:beach, MONSTER, mozombies_wave:zombie_creeper, 5, 1, 3
96, beach, minecraft:beach, MONSTER, mozombies_wave:zombie_cyborg, 5, 1, 4
97, beach, minecraft:beach, MONSTER, mozombies_wave:zombie_dwarf, 10, 1, 5
98, beach, minecraft:beach, MONSTER, mozombies_wave:zombie_herobrine, 5, 1, 1
99, beach, minecraft:beach, MONSTER, mozombies_wave:zombie_king, 5, 1, 2
100, beach, minecraft:beach, MONSTER, mozombies_wave:zombie_knight, 5, 1, 4
101, beach, minecraft:beach, MONSTER, mozombies_wave:zombie_miner, 5, 2, 7
102, beach, minecraft:beach, MONSTER, mozombies_wave:zombie_notch, 5, 1, 1
103, beach, minecraft:beach, MONSTER, mozombies_wave:zombie_pa, 5, 1, 2
104, beach, minecraft:beach, MONSTER, mozombies_wave:zombie_pirate, 7, 1, 3
105, beach, minecraft:beach, CREATURE, minecraft:turtle, 5, 2, 5
106, beach, minecraft:beach, CREATURE, mozombies_wave:survivor, 5, 1, 4
107, beach, minecraft:beach, AMBIENT, minecraft:bat, 10, 8, 8
108, beach, minecraft:beach, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
109, forest, minecraft:birch_forest, MONSTER, minecraft:spider, 80, 4, 4
110, forest, minecraft:birch_forest, MONSTER, minecraft:zombie, 80, 4, 4
111, forest, minecraft:birch_forest, MONSTER, minecraft:zombie_villager, 5, 1, 1
112, forest, minecraft:birch_forest, MONSTER, minecraft:skeleton, 80, 4, 4
113, forest, minecraft:birch_forest, MONSTER, minecraft:creeper, 80, 4, 4
114, forest, minecraft:birch_forest, MONSTER, minecraft:slime, 80, 4, 4
115, forest, minecraft:birch_forest, MONSTER, minecraft:enderman, 10, 1, 4
116, forest, minecraft:birch_forest, MONSTER, minecraft:witch, 5, 1, 1
117, forest, minecraft:birch_forest, MONSTER, mozombies_wave:disco_zombie, 6, 1, 4
118, forest, minecraft:birch_forest, MONSTER, hwg:merc, 5, 1, 2
119, forest, minecraft:birch_forest, MONSTER, hwg:spy, 5, 1, 2
120, forest, minecraft:birch_forest, MONSTER, mozombies_wave:zombie_chef, 8, 1, 4
121, forest, minecraft:birch_forest, MONSTER, mozombies_wave:zombie_creeper, 5, 1, 3
122, forest, minecraft:birch_forest, MONSTER, mozombies_wave:zombie_cyborg, 5, 1, 4
123, forest, minecraft:birch_forest, MONSTER, mozombies_wave:zombie_dwarf, 10, 1, 5
124, forest, minecraft:birch_forest, MONSTER, mozombies_wave:zombie_herobrine, 5, 1, 1
125, forest, minecraft:birch_forest, MONSTER, mozombies_wave:zombie_king, 5, 1, 2
126, forest, minecraft:birch_forest, MONSTER, mozombies_wave:zombie_knight, 5, 1, 4
127, forest, minecraft:birch_forest, MONSTER, mozombies_wave:zombie_miner, 5, 2, 7
128, forest, minecraft:birch_forest, MONSTER, mozombies_wave:zombie_notch, 5, 1, 1
129, forest, minecraft:birch_forest, MONSTER, mozombies_wave:zombie_pa, 5, 1, 2
130, forest, minecraft:birch_forest, MONSTER, mozombies_wave:zombie_pirate, 7, 1, 3
131, forest, minecraft:birch_forest, CREATURE, minecraft:sheep, 12, 4, 4
132, forest, minecraft:birch_forest, CREATURE, minecraft:pig, 10, 4, 4
133, forest, minecraft:birch_forest, CREATURE, minecraft:chicken, 10, 4, 4
134, forest, minecraft:birch_forest, CREATURE, minecraft:cow, 8, 4, 4
135, forest, minecraft:birch_forest, CREATURE, mozombies_wave:survivor, 5, 1, 4
136, forest, minecraft:birch_forest, AMBIENT, minecraft:bat, 10, 8, 8
137, forest, minecraft:birch_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
138, extreme_hills, minecraft:cherry_grove, MONSTER, minecraft:spider, 80, 4, 4
139, extreme_hills, minecraft:cherry_grove, MONSTER, minecraft:zombie, 80, 4, 4
140, extreme_hills, minecraft:cherry_grove, MONSTER, minecraft:zombie_villager, 5, 1, 1
141, extreme_hills, minecraft:cherry_grove, MONSTER, minecraft:skeleton, 80, 4, 4
142, extreme_hills, minecraft:cherry_grove, MONSTER, minecraft:creeper, 80, 4, 4
143, extreme_hills, minecraft:cherry_grove, MONSTER, minecraft:slime, 80, 4, 4
144, extreme_hills, minecraft:cherry_grove, MONSTER, minecraft:enderman, 10, 1, 4
145, extreme_hills, minecraft:cherry_grove, MONSTER, minecraft:witch, 5, 1, 1
146, extreme_hills, minecraft:cherry_grove, MONSTER, mozombies_wave:disco_zombie, 6, 1, 4
147, extreme_hills, minecraft:cherry_grove, MONSTER, mozombies_wave:zombie_chef, 8, 1, 4
148, extreme_hills, minecraft:cherry_grove, MONSTER, mozombies_wave:zombie_creeper, 5, 1, 3
149, extreme_hills, minecraft:cherry_grove, MONSTER, mozombies_wave:zombie_cyborg, 5, 1, 4
150, extreme_hills, minecraft:cherry_grove, MONSTER, mozombies_wave:zombie_dwarf, 10, 1, 5
151, extreme_hills, minecraft:cherry_grove, MONSTER, mozombies_wave:zombie_herobrine, 5, 1, 1
152, extreme_hills, minecraft:cherry_grove, MONSTER, mozombies_wave:zombie_king, 5, 1, 2
153, extreme_hills, minecraft:cherry_grove, MONSTER, mozombies_wave:zombie_knight, 5, 1, 4
154, extreme_hills, minecraft:cherry_grove, MONSTER, mozombies_wave:zombie_miner, 5, 2, 7
155, extreme_hills, minecraft:cherry_grove, MONSTER, mozombies_wave:zombie_notch, 5, 1, 1
156, extreme_hills, minecraft:cherry_grove, MONSTER, mozombies_wave:zombie_pa, 5, 1, 2
157, extreme_hills, minecraft:cherry_grove, MONSTER, mozombies_wave:zombie_pirate, 7, 1, 3
158, extreme_hills, minecraft:cherry_grove, CREATURE, minecraft:pig, 5, 1, 2
159, extreme_hills, minecraft:cherry_grove, CREATURE, minecraft:rabbit, 5, 2, 6
160, extreme_hills, minecraft:cherry_grove, CREATURE, minecraft:sheep, 5, 2, 4
161, extreme_hills, minecraft:cherry_grove, CREATURE, mozombies_wave:survivor, 5, 1, 4
162, extreme_hills, minecraft:cherry_grove, AMBIENT, minecraft:bat, 10, 8, 8
163, extreme_hills, minecraft:cherry_grove, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
164, ocean, minecraft:cold_ocean, MONSTER, minecraft:spider, 80, 4, 4
165, ocean, minecraft:cold_ocean, MONSTER, minecraft:zombie, 80, 4, 4
166, ocean, minecraft:cold_ocean, MONSTER, minecraft:zombie_villager, 5, 1, 1
167, ocean, minecraft:cold_ocean, MONSTER, minecraft:skeleton, 80, 4, 4
168, ocean, minecraft:cold_ocean, MONSTER, minecraft:creeper, 80, 4, 4
169, ocean, minecraft:cold_ocean, MONSTER, minecraft:slime, 80, 4, 4
170, ocean, minecraft:cold_ocean, MONSTER, minecraft:enderman, 10, 1, 4
171, ocean, minecraft:cold_ocean, MONSTER, minecraft:witch, 5, 1, 1
172, ocean, minecraft:cold_ocean, MONSTER, minecraft:drowned, 5, 1, 1
173, ocean, minecraft:cold_ocean, MONSTER, mozombies_wave:disco_zombie, 6, 1, 4
174, ocean, minecraft:cold_ocean, MONSTER, skeletalremains:sunkenskeleton, 50, 1, 2
175, ocean, minecraft:cold_ocean, MONSTER, mozombies_wave:zombie_chef, 8, 1, 4
176, ocean, minecraft:cold_ocean, MONSTER, mozombies_wave:zombie_creeper, 5, 1, 3
177, ocean, minecraft:cold_ocean, MONSTER, mozombies_wave:zombie_cyborg, 5, 1, 4
178, ocean, minecraft:cold_ocean, MONSTER, mozombies_wave:zombie_dwarf, 10, 1, 5
179, ocean, minecraft:cold_ocean, MONSTER, mozombies_wave:zombie_herobrine, 5, 1, 1
180, ocean, minecraft:cold_ocean, MONSTER, mozombies_wave:zombie_king, 5, 1, 2
181, ocean, minecraft:cold_ocean, MONSTER, mozombies_wave:zombie_knight, 5, 1, 4
182, ocean, minecraft:cold_ocean, MONSTER, mozombies_wave:zombie_miner, 5, 2, 7
183, ocean, minecraft:cold_ocean, MONSTER, mozombies_wave:zombie_notch, 5, 1, 1
184, ocean, minecraft:cold_ocean, MONSTER, mozombies_wave:zombie_pa, 5, 1, 2
185, ocean, minecraft:cold_ocean, MONSTER, mozombies_wave:zombie_pirate, 7, 1, 3
186, ocean, minecraft:cold_ocean, AMBIENT, minecraft:bat, 10, 8, 8
187, ocean, minecraft:cold_ocean, AMBIENT, darkwaters:aberration, 10, 1, 1
188, ocean, minecraft:cold_ocean, AMBIENT, darkwaters:craeken, 5, 1, 1
189, ocean, minecraft:cold_ocean, AMBIENT, darkwaters:miraid, 5, 1, 1
190, ocean, minecraft:cold_ocean, AMBIENT, darkwaters:miraid_hallucination, 5, 1, 1
191, ocean, minecraft:cold_ocean, AMBIENT, darkwaters:mohast, 10, 1, 3
192, ocean, minecraft:cold_ocean, AMBIENT, darkwaters:sight_hunter, 5, 1, 1
193, ocean, minecraft:cold_ocean, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
194, ocean, minecraft:cold_ocean, WATER_CREATURE, minecraft:squid, 5, 1, 4
195, ocean, minecraft:cold_ocean, WATER_AMBIENT, minecraft:cod, 15, 3, 6
196, ocean, minecraft:cold_ocean, WATER_AMBIENT, minecraft:salmon, 15, 1, 5
197, nether, minecraft:crimson_forest, MONSTER, minecraft:zombified_piglin, 5, 2, 4
198, nether, minecraft:crimson_forest, MONSTER, minecraft:hoglin, 9, 3, 4
199, nether, minecraft:crimson_forest, MONSTER, minecraft:piglin, 5, 3, 4
200, nether, minecraft:crimson_forest, MONSTER, mozombies_wave:nether_zombie, 5, 1, 4
201, nether, minecraft:crimson_forest, MONSTER, hwg:technodemon_greater_1, 5, 1, 1
202, nether, minecraft:crimson_forest, MONSTER, hwg:technodemon_lesser_1, 5, 1, 2
203, nether, minecraft:crimson_forest, MONSTER, minecraft:ghast, 3, 4, 4
204, nether, minecraft:crimson_forest, CREATURE, minecraft:strider, 60, 1, 2
205, nether, minecraft:crimson_forest, CREATURE, mozombies_wave:survivor, 5, 1, 4
206, forest, minecraft:dark_forest, MONSTER, minecraft:spider, 80, 4, 4
207, forest, minecraft:dark_forest, MONSTER, minecraft:zombie, 80, 4, 4
208, forest, minecraft:dark_forest, MONSTER, minecraft:zombie_villager, 10, 1, 1
209, forest, minecraft:dark_forest, MONSTER, minecraft:skeleton, 80, 4, 4
210, forest, minecraft:dark_forest, MONSTER, minecraft:creeper, 80, 4, 4
211, forest, minecraft:dark_forest, MONSTER, minecraft:slime, 80, 4, 4
212, forest, minecraft:dark_forest, MONSTER, minecraft:enderman, 10, 1, 4
213, forest, minecraft:dark_forest, MONSTER, minecraft:witch, 10, 1, 1
214, forest, minecraft:dark_forest, MONSTER, mozombies_wave:disco_zombie, 6, 1, 4
215, forest, minecraft:dark_forest, MONSTER, hwg:merc, 5, 1, 2
216, forest, minecraft:dark_forest, MONSTER, hwg:spy, 5, 1, 2
217, forest, minecraft:dark_forest, MONSTER, mozombies_wave:zombie_chef, 8, 1, 4
218, forest, minecraft:dark_forest, MONSTER, mozombies_wave:zombie_creeper, 5, 1, 3
219, forest, minecraft:dark_forest, MONSTER, mozombies_wave:zombie_cyborg, 5, 1, 4
220, forest, minecraft:dark_forest, MONSTER, mozombies_wave:zombie_dwarf, 10, 1, 5
221, forest, minecraft:dark_forest, MONSTER, mozombies_wave:zombie_herobrine, 5, 1, 1
222, forest, minecraft:dark_forest, MONSTER, mozombies_wave:zombie_king, 5, 1, 2
223, forest, minecraft:dark_forest, MONSTER, mozombies_wave:zombie_knight, 5, 1, 4
224, forest, minecraft:dark_forest, MONSTER, mozombies_wave:zombie_miner, 5, 2, 7
225, forest, minecraft:dark_forest, MONSTER, mozombies_wave:zombie_notch, 5, 1, 1
226, forest, minecraft:dark_forest, MONSTER, mozombies_wave:zombie_pa, 5, 1, 2
227, forest, minecraft:dark_forest, MONSTER, mozombies_wave:zombie_pirate, 7, 1, 3
228, forest, minecraft:dark_forest, CREATURE, minecraft:sheep, 12, 4, 4
229, forest, minecraft:dark_forest, CREATURE, minecraft:pig, 10, 4, 4
230, forest, minecraft:dark_forest, CREATURE, minecraft:chicken, 10, 4, 4
231, forest, minecraft:dark_forest, CREATURE, minecraft:cow, 8, 4, 4
232, forest, minecraft:dark_forest, CREATURE, mozombies_wave:survivor, 5, 1, 4
233, forest, minecraft:dark_forest, AMBIENT, minecraft:bat, 10, 8, 8
234, forest, minecraft:dark_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
235, ocean, minecraft:deep_cold_ocean, MONSTER, minecraft:spider, 80, 4, 4
236, ocean, minecraft:deep_cold_ocean, MONSTER, minecraft:zombie, 80, 4, 4
237, ocean, minecraft:deep_cold_ocean, MONSTER, minecraft:zombie_villager, 5, 1, 1
238, ocean, minecraft:deep_cold_ocean, MONSTER, minecraft:skeleton, 80, 4, 4
239, ocean, minecraft:deep_cold_ocean, MONSTER, minecraft:creeper, 80, 4, 4
240, ocean, minecraft:deep_cold_ocean, MONSTER, minecraft:slime, 80, 4, 4
241, ocean, minecraft:deep_cold_ocean, MONSTER, minecraft:enderman, 10, 1, 4
242, ocean, minecraft:deep_cold_ocean, MONSTER, minecraft:witch, 5, 1, 1
243, ocean, minecraft:deep_cold_ocean, MONSTER, minecraft:drowned, 5, 1, 1
244, ocean, minecraft:deep_cold_ocean, MONSTER, mozombies_wave:disco_zombie, 6, 1, 4
245, ocean, minecraft:deep_cold_ocean, MONSTER, skeletalremains:sunkenskeleton, 50, 1, 2
246, ocean, minecraft:deep_cold_ocean, MONSTER, skeletalremains:sunkenskeleton, 50, 1, 2
247, ocean, minecraft:deep_cold_ocean, MONSTER, mozombies_wave:zombie_chef, 8, 1, 4
248, ocean, minecraft:deep_cold_ocean, MONSTER, mozombies_wave:zombie_creeper, 5, 1, 3
249, ocean, minecraft:deep_cold_ocean, MONSTER, mozombies_wave:zombie_cyborg, 5, 1, 4
250, ocean, minecraft:deep_cold_ocean, MONSTER, mozombies_wave:zombie_dwarf, 10, 1, 5
251, ocean, minecraft:deep_cold_ocean, MONSTER, mozombies_wave:zombie_herobrine, 5, 1, 1
252, ocean, minecraft:deep_cold_ocean, MONSTER, mozombies_wave:zombie_king, 5, 1, 2
253, ocean, minecraft:deep_cold_ocean, MONSTER, mozombies_wave:zombie_knight, 5, 1, 4
254, ocean, minecraft:deep_cold_ocean, MONSTER, mozombies_wave:zombie_miner, 5, 2, 7
255, ocean, minecraft:deep_cold_ocean, MONSTER, mozombies_wave:zombie_notch, 5, 1, 1
256, ocean, minecraft:deep_cold_ocean, MONSTER, mozombies_wave:zombie_pa, 5, 1, 2
257, ocean, minecraft:deep_cold_ocean, MONSTER, mozombies_wave:zombie_pirate, 7, 1, 3
258, ocean, minecraft:deep_cold_ocean, AMBIENT, minecraft:bat, 10, 8, 8
259, ocean, minecraft:deep_cold_ocean, AMBIENT, darkwaters:aberration, 10, 1, 1
260, ocean, minecraft:deep_cold_ocean, AMBIENT, darkwaters:craeken, 5, 1, 1
261, ocean, minecraft:deep_cold_ocean, AMBIENT, darkwaters:miraid, 5, 1, 1
262, ocean, minecraft:deep_cold_ocean, AMBIENT, darkwaters:miraid_hallucination, 5, 1, 1
263, ocean, minecraft:deep_cold_ocean, AMBIENT, darkwaters:mohast, 10, 1, 3
264, ocean, minecraft:deep_cold_ocean, AMBIENT, darkwaters:sight_hunter, 5, 1, 1
265, ocean, minecraft:deep_cold_ocean, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
266, ocean, minecraft:deep_cold_ocean, WATER_CREATURE, minecraft:squid, 5, 1, 4
267, ocean, minecraft:deep_cold_ocean, WATER_AMBIENT, minecraft:cod, 15, 3, 6
268, ocean, minecraft:deep_cold_ocean, WATER_AMBIENT, minecraft:salmon, 15, 1, 5
269, private, minecraft:deep_dark, MONSTER, mozombies_wave:disco_zombie, 6, 1, 4
270, private, minecraft:deep_dark, MONSTER, mozombies_wave:zombie_chef, 8, 1, 4
271, private, minecraft:deep_dark, MONSTER, mozombies_wave:zombie_creeper, 5, 1, 3
272, private, minecraft:deep_dark, MONSTER, mozombies_wave:zombie_cyborg, 5, 1, 4
273, private, minecraft:deep_dark, MONSTER, mozombies_wave:zombie_dwarf, 10, 1, 5
274, private, minecraft:deep_dark, MONSTER, mozombies_wave:zombie_herobrine, 5, 1, 1
275, private, minecraft:deep_dark, MONSTER, mozombies_wave:zombie_king, 5, 1, 2
276, private, minecraft:deep_dark, MONSTER, mozombies_wave:zombie_knight, 5, 1, 4
277, private, minecraft:deep_dark, MONSTER, mozombies_wave:zombie_miner, 5, 2, 7
278, private, minecraft:deep_dark, MONSTER, mozombies_wave:zombie_notch, 5, 1, 1
279, private, minecraft:deep_dark, MONSTER, mozombies_wave:zombie_pa, 5, 1, 2
280, private, minecraft:deep_dark, MONSTER, mozombies_wave:zombie_pirate, 7, 1, 3
281, private, minecraft:deep_dark, CREATURE, mozombies_wave:survivor, 5, 1, 4
282, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:spider, 80, 4, 4
283, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:zombie, 80, 4, 4
284, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:zombie_villager, 5, 1, 1
285, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:skeleton, 20, 4, 4
286, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:creeper, 80, 4, 4
287, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:slime, 80, 4, 4
288, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:enderman, 10, 1, 4
289, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:witch, 5, 1, 1
290, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:drowned, 5, 1, 1
291, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:stray, 80, 4, 4
292, ocean, minecraft:deep_frozen_ocean, MONSTER, mozombies_wave:disco_zombie, 6, 1, 4
293, ocean, minecraft:deep_frozen_ocean, MONSTER, skeletalremains:sunkenskeleton, 50, 1, 2
294, ocean, minecraft:deep_frozen_ocean, MONSTER, skeletalremains:sunkenskeleton, 50, 1, 2
295, ocean, minecraft:deep_frozen_ocean, MONSTER, mozombies_wave:zombie_chef, 8, 1, 4
296, ocean, minecraft:deep_frozen_ocean, MONSTER, mozombies_wave:zombie_creeper, 5, 1, 3
297, ocean, minecraft:deep_frozen_ocean, MONSTER, mozombies_wave:zombie_cyborg, 5, 1, 4
298, ocean, minecraft:deep_frozen_ocean, MONSTER, mozombies_wave:zombie_dwarf, 10, 1, 5
299, ocean, minecraft:deep_frozen_ocean, MONSTER, mozombies_wave:zombie_herobrine, 5, 1, 1
300, ocean, minecraft:deep_frozen_ocean, MONSTER, mozombies_wave:zombie_king, 5, 1, 2
301, ocean, minecraft:deep_frozen_ocean, MONSTER, mozombies_wave:zombie_knight, 5, 1, 4
302, ocean, minecraft:deep_frozen_ocean, MONSTER, mozombies_wave:zombie_miner, 5, 2, 7
303, ocean, minecraft:deep_frozen_ocean, MONSTER, mozombies_wave:zombie_notch, 5, 1, 1
304, ocean, minecraft:deep_frozen_ocean, MONSTER, mozombies_wave:zombie_pa, 5, 1, 2
